"deploymentID", "expedition", "timestamp", "loggerName", "variable", "value", "siteID", "siteName", "x", "y", "startTime", "endTime"
55,"VjosaSpring2018",1524708000,"pig","air temperature",11.139,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524708000,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524708600,"pig","air temperature",10.944,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524708600,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524709200,"pig","air temperature",10.846,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524709200,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524709800,"pig","air temperature",10.846,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524709800,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524710400,"pig","air temperature",10.748,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524710400,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524711000,"pig","air temperature",10.455,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524711000,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524711600,"pig","air temperature",10.161,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524711600,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524712200,"pig","air temperature",10.063,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
55,"VjosaSpring2018",1524712200,"pig","light intensity",0.0,15,26,20.4116078763797,40.2162618254705,1524677040.0,1525183200.0
